Traceback (most recent call last):
  File "./leaderboard.py", line 24, in <module>
    rank   = int(entry.find(class_='table-item-rank').text)
ValueError: invalid literal for int() with base 10: ''
Parsed 100 entries at 2013-06-27 21:00:31.325010
Traceback (most recent call last):
  File "./leaderboard.py", line 35, in <module>
    time.sleep(60)
KeyboardInterrupt
Parsed 100 entries at 2013-06-27 21:00:35.085713
Parsed 100 entries at 2013-06-27 21:01:36.181690
Parsed 100 entries at 2013-06-27 21:02:36.885140
Parsed 100 entries at 2013-06-27 21:03:37.836408
Parsed 100 entries at 2013-06-27 21:04:38.860955
Parsed 100 entries at 2013-06-27 21:05:39.622940
Parsed 100 entries at 2013-06-27 21:06:40.510696
Parsed 100 entries at 2013-06-27 21:07:41.382370
Parsed 100 entries at 2013-06-27 21:08:42.377658
Parsed 100 entries at 2013-06-27 21:09:43.131724
Parsed 100 entries at 2013-06-27 21:10:44.001914
Parsed 100 entries at 2013-06-27 21:11:44.835285
Parsed 100 entries at 2013-06-27 21:12:45.606640
Parsed 100 entries at 2013-06-27 21:13:46.446790
Parsed 100 entries at 2013-06-27 21:14:47.469318
Parsed 100 entries at 2013-06-27 21:15:48.264669
Parsed 100 entries at 2013-06-27 21:16:49.108423
Parsed 100 entries at 2013-06-27 21:17:49.820788
Parsed 100 entries at 2013-06-27 21:18:50.523967
Parsed 100 entries at 2013-06-27 21:19:51.448632
Parsed 100 entries at 2013-06-27 21:20:52.401843
Parsed 100 entries at 2013-06-27 21:21:53.353996
Parsed 100 entries at 2013-06-27 21:22:54.262249
Parsed 100 entries at 2013-06-27 21:23:55.075974
Parsed 100 entries at 2013-06-27 21:24:55.882642
Parsed 100 entries at 2013-06-27 21:25:56.799676
Parsed 100 entries at 2013-06-27 21:26:57.639075
Parsed 100 entries at 2013-06-27 21:27:58.475429
Parsed 100 entries at 2013-06-27 21:28:59.396139
Parsed 100 entries at 2013-06-27 21:30:00.099062
Parsed 100 entries at 2013-06-27 21:31:01.000374
